marketplace,brand,month,gmv_actual
tiktok,apice,2026-01,270841.11
tiktok,apice,2026-02,213564.04
tiktok,apice,2026-03,395296.07
tiktok,apice,2026-04,587476.96
tiktok,apice,2026-05,797440.60
tiktok,barbours,2026-01,5701482.25
tiktok,barbours,2026-02,9920778.37
tiktok,barbours,2026-03,10984939.88
tiktok,barbours,2026-04,8627777.00
tiktok,barbours,2026-05,9072277.92
tiktok,kokeshi,2026-01,1300398.18
tiktok,kokeshi,2026-02,1042429.89
tiktok,kokeshi,2026-03,2140866.55
tiktok,kokeshi,2026-04,2145126.99
tiktok,kokeshi,2026-05,2157352.12
tiktok,lescent,2026-01,52740.19
tiktok,lescent,2026-02,45628.93
tiktok,lescent,2026-03,242492.03
tiktok,lescent,2026-04,267911.30
tiktok,lescent,2026-05,239457.18
tiktok,rituaria,2026-01,96101.51
tiktok,rituaria,2026-02,76710.24
tiktok,rituaria,2026-03,81013.63
tiktok,rituaria,2026-04,145850.02
tiktok,rituaria,2026-05,232172.65
shopee,apice,2026-01,55583.57
shopee,apice,2026-02,99060.44
shopee,apice,2026-03,181752.27
shopee,apice,2026-04,432627.76
shopee,apice,2026-05,553902.06
shopee,barbours,2026-01,274570.05
shopee,barbours,2026-02,980408.05
shopee,barbours,2026-03,2621696.40
shopee,barbours,2026-04,2449730.63
shopee,barbours,2026-05,1645665.60
shopee,kokeshi,2026-01,1152134.13
shopee,kokeshi,2026-02,1279661.67
shopee,kokeshi,2026-03,1320912.00
shopee,kokeshi,2026-04,2102888.90
shopee,kokeshi,2026-05,2861775.92
shopee,lescent,2026-01,64287.89
shopee,lescent,2026-02,67328.17
shopee,lescent,2026-03,137476.55
shopee,lescent,2026-04,185918.68
shopee,lescent,2026-05,175040.57
shopee,rituaria,2026-01,237946.04
shopee,rituaria,2026-02,295271.70
shopee,rituaria,2026-03,233224.30
shopee,rituaria,2026-04,287732.56
shopee,rituaria,2026-05,375735.56
mercado_livre,barbours,2026-01,869898.28
mercado_livre,barbours,2026-02,1180177.28
mercado_livre,barbours,2026-03,1855698.93
mercado_livre,barbours,2026-04,1958196.41
mercado_livre,barbours,2026-05,2575365.28
mercado_livre,kokeshi,2026-01,246794.95
mercado_livre,kokeshi,2026-02,349587.99
mercado_livre,kokeshi,2026-03,22479.87
mercado_livre,kokeshi,2026-04,166125.65
mercado_livre,kokeshi,2026-05,789234.38
mercado_livre,lescent,2026-01,370084.91
mercado_livre,lescent,2026-02,249812.65
mercado_livre,lescent,2026-03,207078.42
mercado_livre,lescent,2026-04,100412.51
mercado_livre,lescent,2026-05,552078.14
mercado_livre,rituaria,2026-01,1086580.75
mercado_livre,rituaria,2026-02,1276923.10
mercado_livre,rituaria,2026-03,1913711.54
mercado_livre,rituaria,2026-04,1250410.63
mercado_livre,rituaria,2026-05,1232271.86
